key,population,area_km,population_density,days,cluster
Brazil.regions.MT:Guiratinga,15141.0,5044.139,3.001701578802646,269,4
Brazil.regions.MT:Itaúba,3802.0,4529.581,0.8393712354409822,256,4
Brazil.regions.MT:Itiquira,13345.0,8659.91,1.5410090866995154,261,4
Brazil.regions.MT:Luciara,2077.0,4243.028,0.48950890731807567,274,4
Brazil.regions.MT:Matupá,16566.0,5219.025,3.174156092373576,275,4
Brazil.regions.MT:Nossa Senhora do Livramento,13216.0,5439.889,2.429461336435357,284,4
Brazil.regions.MT:Nova Canaã do Norte,12787.0,5955.408,2.1471240929252873,247,4
Brazil.regions.MT:Nova Lacerda,6640.0,4793.173,1.3853036391551068,289,4
Brazil.regions.MT:Nova Monte Verde,9178.0,5150.562,1.7819414658050907,333,4
Brazil.regions.MT:Nova Xavantina,21374.0,5530.393,3.8648247963571487,281,4
Brazil.regions.MT:Novo Mundo,9178.0,5791.05,1.584859395101061,276,4
Brazil.regions.MT:Novo Santo Antônio,2640.0,4393.796,0.6008471945443075,267,4
Brazil.regions.MT:Novo São Joaquim,5074.0,5231.297,0.9699315485241997,239,4
Brazil.regions.MT:Paranaíta,11225.0,4796.013,2.340485732628331,268,4
Brazil.regions.MT:Pontes e Lacerda,45436.0,8567.455,5.303325199840559,312,4
Brazil.regions.MT:Porto Esperidião,12017.0,5810.977,2.067982716159434,268,4
Brazil.regions.MT:Porto dos Gaúchos,5410.0,6862.118,0.7883863262042419,253,4
Brazil.regions.MT:Poxoréu,16219.0,6874.158,2.3594162368685736,295,4
Brazil.regions.MT:Primavera do Leste,62019.0,5482.065,11.313072719860127,319,4
Brazil.regions.MT:Rondonópolis,232491.0,4686.622,49.60737179145235,327,4
Brazil.regions.MT:Rosário Oeste,17151.0,7169.88,2.392090244188187,291,4
Brazil.regions.MT:Santa Cruz do Xingu,2564.0,5651.747,0.4536650348998283,262,4
Brazil.regions.MT:Santa Rita do Trivelato,3429.0,4734.93,0.724192332304807,281,4
Brazil.regions.MT:Santa Terezinha,8371.0,6466.89,1.2944398312017058,246,4
Brazil.regions.MT:São José do Rio Claro,20664.0,4533.01,4.558560426736318,261,4
Brazil.regions.MT:São José do Xingu,5595.0,7459.645,0.7500356920470076,276,4
Brazil.regions.MT:Tabaporã,9489.0,8448.004,1.1232238999886837,257,4
Brazil.regions.MT:Tapurah,13705.0,4489.391,3.052752589382391,285,4
Brazil.regions.MT:Tesouro,3805.0,4285.71,0.8878342211675545,235,4
Brazil.regions.MT:União do Sul,3525.0,4581.91,0.7693298209698576,320,4
Brazil.regions.MT:Vila Rica,26037.0,7431.481,3.503608500109198,281,4
Brazil.regions.MT:Água Boa,25721.0,7510.635,3.4246105688799946,287,4
Brazil.regions.PA:Acará,55591.0,4343.55,12.798517341805665,313,4
Brazil.regions.PA:Afuá,39218.0,8338.438,4.703278959440605,307,4
Brazil.regions.PA:Anajás,29277.0,6913.64,4.234672328903443,301,4
Brazil.regions.PA:Bagre,30673.0,4397.321,6.975383420951075,298,4
Brazil.regions.PA:Belterra,17732.0,4398.418,4.0314494893391215,292,4
Brazil.regions.PA:Brasil Novo,15086.0,6362.575,2.3710526005587362,284,4
Brazil.regions.PA:Conceição do Araguaia,47864.0,5829.482,8.21067806710785,311,4
Brazil.regions.PA:Dom Eliseu,59719.0,5268.809,11.33444009832203,295,4
Brazil.regions.PA:Goianésia do Pará,40475.0,7023.941,5.7624345079208386,321,4
Brazil.regions.PA:Gurupá,33376.0,8570.333,3.8943644313470664,285,4
Brazil.regions.PA:Ipixuna do Pará,64053.0,5215.555,12.281147452188693,295,4
Brazil.regions.PA:Itupiranga,53269.0,7880.109,6.759931874038798,285,4
Brazil.regions.PA:Juruti,57943.0,8305.454,6.976500020348075,309,4
Brazil.regions.PA:Medicilândia,31597.0,8272.629,3.819462954279709,289,4
Brazil.regions.PA:Melgaço,27654.0,6774.018,4.082362934376614,297,4
Brazil.regions.PA:Mojuí dos Campos,16084.0,4988.236,3.224386336171745,282,4
Brazil.regions.PA:Parauapebas,208273.0,6886.208,30.244947582181663,327,4
Brazil.regions.PA:Placas,30982.0,7173.194,4.319135938606986,259,4
Brazil.regions.PA:Rondon do Pará,52357.0,8246.394,6.349078154645533,310,4
Brazil.regions.PA:Rurópolis,50510.0,7021.321,7.1938029894944275,280,4
Brazil.regions.PA:Tomé-Açu,63447.0,5145.361,12.330913224553147,300,4
Brazil.regions.PA:Ulianópolis,59210.0,5088.468,11.636115231539238,289,4
Brazil.regions.PA:Viseu,61403.0,4939.254,12.431634412808089,300,4
Brazil.regions.PA:Água Azul do Norte,27430.0,7113.955,3.8558017305422934,294,4
Brazil.regions.PE:Petrolina,349145.0,4561.87,76.53549969639644,335,4
Brazil.regions.PI:Baixa Grande do Ribeiro,11586.0,7808.924,1.4836871251404162,290,4
Brazil.regions.PI:Bom Jesus,25179.0,5469.182,4.603796326397623,303,4
Brazil.regions.PI:Canto do Buriti,21187.0,4325.642,4.898001267788689,302,4
Brazil.regions.PI:Pimenteiras,12127.0,4562.9,2.657739595432729,314,4
Brazil.regions.PI:Santa Filomena,6253.0,5285.437,1.1830620627963213,269,4
Brazil.regions.PI:São Miguel do Tapuio,17662.0,4988.193,3.5407611533876095,269,4
Brazil.regions.PI:Uruçuí,21558.0,8411.904,2.5627967223591708,300,4
Brazil.regions.RO:Alta Floresta D'Oeste,22945.0,7067.025,3.246769326555375,292,4
Brazil.regions.RO:Candeias do Jamari,26693.0,6843.868,3.9002797833038274,298,4
Brazil.regions.RO:Chupinguaia,11182.0,5126.723,2.181120376505616,260,4
Brazil.regions.RO:Costa Marques,18331.0,4987.177,3.6756265117520397,270,4
Brazil.regions.RO:Espigão D'Oeste,32374.0,4518.027,7.16551716047735,293,4
Brazil.regions.RO:Governador Jorge Teixeira,7767.0,5067.384,1.5327435221013446,294,4
Brazil.regions.RO:Ji-Paraná,128969.0,6896.649,18.700241233097405,335,4
Brazil.regions.RO:Machadinho D'Oeste,39991.0,8509.27,4.699698093961056,290,4
Brazil.regions.RO:Pimenta Bueno,36660.0,6240.94,5.874115117274001,303,4
Brazil.regions.RO:Pimenteiras do Oeste,2169.0,6014.733,0.36061451106807235,269,4
Brazil.regions.RO:São Miguel do Guaporé,23005.0,7460.219,3.083689634312344,282,4
Brazil.regions.RR:Boa Vista,399213.0,5687.037,70.19701120284604,335,4
Brazil.regions.RR:Bonfim,12409.0,8095.421,1.5328418373794273,332,4
Brazil.regions.RR:Cantá,18335.0,7664.831,2.3920944897545686,323,4
Brazil.regions.RR:Normandia,11290.0,6966.811,1.6205405888002418,290,4
Brazil.regions.RR:Pacaraima,17401.0,8028.483,2.1674082139801505,314,4
Brazil.regions.RR:São João da Baliza,8201.0,4284.505,1.9141067637918499,293,4
Brazil.regions.RR:Uiramutã,10559.0,8065.564,1.3091458948190107,287,4
Brazil.regions.RS:Alegrete,73589.0,7800.163,9.434290027016102,325,4
Brazil.regions.RS:Dom Pedrito,38461.0,5191.915,7.4078639577111725,332,4
Brazil.regions.RS:Rosário do Sul,39422.0,4343.681,9.075712512037603,305,4
Brazil.regions.RS:Sant'Ana do Livramento,77027.0,6941.399,11.096754415068201,337,4
Brazil.regions.RS:Santa Vitória do Palmar,29676.0,5195.667,5.7116824461613875,267,4
Brazil.regions.RS:São Gabriel,62105.0,5051.854,12.293506502761163,324,4
Brazil.regions.RS:Uruguaiana,126970.0,5702.098,22.267242688568313,324,4
Brazil.regions.TO:Araguaçu,8517.0,5167.652,1.6481372971709396,275,4
Brazil.regions.TO:Arraias,10567.0,5786.866,1.82603156872822,261,4
Brazil.regions.TO:Goiatins,13019.0,6408.602,2.031488302753081,282,4
Brazil.regions.TO:Lizarda,3740.0,5723.234,0.6534766881801443,287,4
Brazil.regions.TO:Peixe,11749.0,5291.206,2.220476768434266,270,4
Brazil.regions.TO:Ponte Alta do Tocantins,8039.0,6491.125,1.2384602052802864,282,4
Brazil.regions.TO:Porto Nacional,53010.0,4449.917,11.912581740288639,293,4
Brazil.regions.TO:Rio Sono,6478.0,6354.367,1.0194563833030104,269,4
Brunei,437483.0,5270.0,83.01385199240987,350,4
Brunei_Darussalam,433296.0,5270.0,82.21935483870968,0,4
Cyprus,875899.0,9240.0,94.79426406926407,350,4
French_Polynesia,279285.0,3660.0,76.30737704918033,0,4
Montenegro,628062.0,13450.0,46.6960594795539,342,4
Sweden.regions.Halland,329354.0,5460.7,60.313512919589066,351,4
Sweden.regions.Jönköping,360825.0,10495.1,34.380329868224216,359,4
Sweden.regions.Kalmar,244670.0,11217.8,21.810872006988895,349,4
Sweden.regions.Kronoberg,199886.0,8466.0,23.610441767068274,349,4
Sweden.regions.Sörmland,294695.0,6102.3,48.292447110106025,350,4
Sweden.regions.Uppsala,376354.0,8207.2,45.85656496734574,359,4
Sweden.regions.Västmanland,273929.0,5145.8,53.233510824361616,347,4
Sweden.regions.Örebro,302252.0,8545.6,35.369312862759784,355,4
Sweden.regions.Östergötland,461583.0,10602.0,43.53735144312394,348,4
Vanuatu,307150.0,12190.0,25.196882690730106,104,4
Benin,12123198.0,112760.0,107.51328485278468,343,5
Cuba,11326616.0,104020.0,108.88882907133244,347,5
Greece,10423056.0,128900.0,80.86156710628394,362,5
Honduras,9904608.0,111890.0,88.52094020913397,348,5
Brazil.regions.SC,7164788.0,95730.921,74.84298620714199,347,6
Bulgaria,6948445.0,108560.0,64.0055729550479,351,6
Nicaragua,6624554.0,120340.0,55.048645504404185,340,6
Serbia,6804596.0,87460.0,77.80237823004802,353,6
Bhutan,771612.0,38143.9990234375,20.228922497766547,353,7
Brazil.regions.AM:Borba,41161.0,44236.184,0.930482611248746,300,7
Brazil.regions.AM:Maués,63905.0,39991.066,1.5979819092594332,317,7
Brazil.regions.AM:Novo Airão,19454.0,37776.77,0.5149725611797938,328,7
Brazil.regions.AM:Novo Aripuanã,25644.0,41179.656,0.6227346823878276,303,7
Brazil.regions.AM:Pauini,19426.0,41624.668,0.4666944130341172,287,7
Brazil.regions.PA:Novo Progresso,25762.0,38162.035,0.6750688216705424,321,7
Brazil.regions.RO:Porto Velho,529544.0,34090.954,15.533270204172052,334,7
Estonia,1326539.0,43470.0,30.51619507706464,361,7
Brazil.regions.AM:Barcelos,27502.0,122461.086,0.22457746291748548,305,8
Brazil.regions.AM:São Gabriel da Cachoeira,45564.0,109181.24,0.4173244414516633,321,8
Brazil.regions.PA:Oriximiná,73096.0,107603.436,0.6793091625810165,304,8
Iceland,341250.0,100250.0,3.403990024937656,360,8
Sweden.regions.Norrbotten,250497.0,98244.8,2.549722733416934,349,8
Angola,32866268.0,1246700.0,26.36261169487447,339,9
Peru,32971846.0,1280000.0,25.7592546875,353,9
Brazil.regions.PI,3273227.0,251616.823,13.008776444172813,340,10
Brazil.regions.TO,1572866.0,277720.404,5.6634873683965985,340,10
Gabon,2225728.0,257670.0,8.637901191446424,345,10
Azerbaijan,10139175.0,82670.0,122.64636506592475,358,11
Brazil.regions.PE,9557071.0,98068.021,97.45349098051037,347,11
Czechia,10708982.0,77220.0,138.6814555814556,358,11
Hungary,9660350.0,90530.0,106.70882580360102,355,11
Jordan,10203140.0,88780.0,114.92610948411804,356,11
Portugal,10196707.0,91605.595703125,111.31096219324245,357,11
United Arab Emirates,9890400.0,71020.0,139.26217966769923,390,11
Congo,5518092.0,341500.0,16.1583953147877,344,12
Norway,5421242.0,365123.0078125,14.847714014187641,362,12
Brazil.regions.RJ:Rio de Janeiro,6718903.0,1200.255,5597.896280373753,351,13
El Salvador,6486201.0,20720.0,313.0405888030888,340,13
Hong Kong,7496988.0,1050.0,7139.988571428571,0,13
Lebanon,6825442.0,10230.0,667.1986314760509,367,13
Palestine,5101416.0,6020.0,847.4112956810632,354,13
Singapore,5850343.0,709.0000152587891,8251.541430312369,396,13
United States,331002647.0,9147420.0,36.18535576151527,395,14
United_States_of_America,329064917.0,9147420.0,35.97352226092166,0,14
Brazil.regions.CE,9132078.0,148894.757,61.33243496277038,343,15
Tajikistan,9537642.0,138790.0,68.71995100511565,298,15
Belize,397621.0,22810.0,17.431871985971064,336,16
Brazil.regions.AC:Feijó,34780.0,27975.426,1.2432339725586306,295,16
Brazil.regions.AC:Sena Madureira,45848.0,23753.066,1.930192927515126,293,16
Brazil.regions.AM:Boca do Acre,34308.0,21938.591,1.5638196637149577,332,16
Brazil.regions.AM:Canutama,15629.0,33642.597,0.464559855471324,308,16
Brazil.regions.AM:Carauari,28294.0,25778.658,1.097574590577989,311,16
Brazil.regions.AM:Humaitá,55080.0,33111.143,1.6634883308015072,301,16
Brazil.regions.AM:Itamarati,7851.0,25260.429,0.3108023224783712,284,16
Brazil.regions.AM:Presidente Figueiredo,36279.0,25459.099,1.4249915128575446,319,16
Brazil.regions.AM:Tefé,59849.0,23692.223,2.5261031858428815,317,16
Brazil.regions.AM:Urucará,16256.0,27901.962,0.5826113590148249,302,16
Brazil.regions.AP:Laranjal do Jari,50410.0,30782.998,1.6375922838964547,312,16
Brazil.regions.AP:Oiapoque,27270.0,23034.392,1.1838819101454903,323,16
Brazil.regions.MT:Aripuanã,22354.0,25107.968,0.8903149788943494,320,16
Brazil.regions.MT:Colniza,38582.0,27946.126,1.380584915419046,266,16
Brazil.regions.MT:Comodoro,20763.0,21518.254,0.9649017062443821,267,16
Brazil.regions.MT:Cáceres,94376.0,24593.123,3.8374955470275167,320,16
Brazil.regions.MT:Juara,34974.0,22622.35,1.545993232356497,273,16
Brazil.regions.MT:Juína,40997.0,26189.915,1.5653735416857977,274,16
Brazil.regions.MT:Paranatinga,22563.0,24162.444,0.9338045439443129,263,16
Brazil.regions.PA:Alenquer,56789.0,23645.452,2.4016880709237447,301,16
Brazil.regions.PA:Portel,62043.0,25384.96,2.4440850015127067,289,16
Brazil.regions.PA:Óbidos,52137.0,28021.443,1.8606108186505599,310,16
